generation,wall_seconds,cum_wall_seconds,sigma,evaluations,ticks_simulated,evals_per_sec,ticks_per_sec,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_p25,fitness_p75,fitness_worst,gates_best,gates_mean,gates_median,laps_best,laps_mean,lap_completion_rate,best_lap_ticks,best_lap_seconds,collisions_mean,term_crash,term_stall,term_timeout,term_finished,champion_fitness,champion_sha1
177,6.286,1169.261,0.02499,200,145063,31.82,23078,1293.5078,345.9617,184.7529,369.5831,179.8733,281.7935,-20.0,8,3.53,2,1,0.18,0.18,1570,31.4,3.18,55,115,0,30,1293.5078,
178,6.635,1175.896,0.024738,200,153099,30.14,23076,1293.5078,412.1592,189.3403,431.1833,179.8544,293.3149,-10.0,8,3.82,2,1,0.2,0.2,1570,31.4,2.855,47,115,0,38,1293.5078,
179,6.841,1182.737,0.024489,200,160492,29.24,23460,1293.5078,435.3729,189.5372,446.8048,180.9809,683.6892,-10.0,8,4.0,2,1,0.28,0.28,1570,31.4,2.55,31,122,0,47,1293.5078,
180,6.092,1188.829,0.024243,200,144912,32.83,23786,1293.5078,357.1681,189.5372,375.8942,180.9809,291.2396,-15.0,8,3.75,2,1,0.21,0.21,1570,31.4,2.92,45,122,0,33,1293.5078,
181,7.327,1196.156,0.023998,200,163395,27.3,22300,1293.5078,445.9457,190.5432,436.6385,184.5372,681.6845,-15.0,8,4.13,2,1,0.24,0.24,1570,31.4,2.745,38,119,0,43,1293.5078,
182,6.191,1202.347,0.023757,200,145862,32.31,23562,1293.5078,368.8461,189.3403,418.9096,179.8828,281.6489,-15.0,8,3.59,2,1,0.18,0.18,1570,31.4,2.605,34,132,0,34,1293.5078,
183,5.574,1207.92,0.023517,200,136094,35.88,24418,1293.5078,320.2296,184.5372,374.6717,179.8077,199.7529,-15.0,8,3.32,2,1,0.16,0.16,1570,31.4,2.995,57,115,0,28,1293.5078,
184,6.222,1214.143,0.02328,200,150080,32.14,24119,1293.5078,379.5883,189.1597,403.2914,179.9116,291.2396,-15.0,8,3.81,2,1,0.21,0.21,1570,31.4,2.9,51,113,0,36,1293.5078,
185,6.249,1220.392,0.023046,200,158110,32.0,25300,1293.5078,421.9136,189.1597,458.3604,179.8356,381.2735,-25.0,8,4.01,2,1,0.26,0.26,1570,31.4,2.83,46,107,0,47,1293.5078,
186,6.439,1226.831,0.022814,200,153882,31.06,23900,1293.5078,392.4702,189.3403,408.5083,184.5372,285.9904,-15.0,8,4.11,3,1,0.23,0.23,1570,31.4,2.935,44,117,0,39,1293.5078,
187,7.953,1234.784,0.022584,200,179932,25.15,22625,1293.5078,497.0166,189.5372,483.3537,184.5372,1219.7826,-10.0,8,4.69,3,1,0.34,0.34,1570,31.4,2.505,29,111,0,60,1293.5078,
188,6.654,1241.438,0.022356,200,147582,30.06,22180,1293.5078,364.1844,184.5372,406.3421,180.2854,200.5432,-10.0,8,3.81,2,1,0.15,0.15,1570,31.4,2.815,43,127,0,30,1293.5078,
189,7.059,1248.497,0.022131,200,155306,28.33,22001,1293.5078,410.086,184.7529,430.2485,184.1597,302.8782,-25.0,8,3.83,2,1,0.23,0.23,1570,31.4,2.86,41,118,0,41,1293.5078,
190,6.579,1255.076,0.021908,200,143091,30.4,21750,1293.5078,340.2881,189.5372,354.8808,180.9666,281.6489,-10.0,8,3.5,2,1,0.16,0.16,1570,31.4,2.9,39,134,0,27,1293.5078,
191,6.859,1261.934,0.021687,200,159217,29.16,23214,1294.0199,456.8423,189.5372,460.4536,184.5372,682.9401,-15.0,8,3.73,2,1,0.24,0.24,1566,31.32,2.58,33,121,0,46,1294.0199,c2351f3d3be58fe12dc685cea7aea3d3a6e9ee37
192,6.498,1268.433,0.021469,200,150443,30.78,23151,1294.0199,375.1047,188.858,393.0376,179.845,285.9904,-15.0,8,3.69,2,1,0.22,0.22,1566,31.32,2.885,50,114,0,36,1294.0199,
193,5.929,1274.362,0.021253,200,135956,33.73,22931,1294.1906,336.1188,189.3403,373.5211,179.8544,284.3284,-25.0,8,3.34,2,1,0.13,0.13,1566,31.32,2.885,44,131,0,25,1294.1906,9cf40933880c54b35f456a8e58430e9f5be1a11a
194,6.504,1280.866,0.021039,200,149495,30.75,22985,1294.1906,364.1557,189.5372,373.6427,180.3533,281.6021,-10.0,8,3.63,2,1,0.19,0.19,1566,31.32,2.88,50,119,0,31,1294.1906,
195,5.959,1286.824,0.020827,200,141471,33.57,23743,1294.1906,334.8398,184.7529,370.8531,179.8263,283.2418,-15.0,8,3.74,2,1,0.19,0.19,1566,31.32,2.92,45,124,0,31,1294.1906,
196,6.881,1293.705,0.020617,200,161873,29.07,23525,1295.898,447.3848,189.5372,453.4598,179.8544,686.5988,-15.0,8,3.92,2,1,0.25,0.25,1560,31.2,2.73,40,114,0,46,1295.898,c8651ed2306cfb52ef3f524848a822cbb25d06c5
197,6.679,1300.384,0.020409,200,149873,29.95,22440,1295.898,406.3884,189.5372,415.4454,179.9116,485.8131,-25.0,8,3.73,2,1,0.19,0.19,1560,31.2,2.905,46,119,0,35,1295.898,
198,6.416,1306.8,0.020204,200,150505,31.17,23457,1295.898,371.2986,189.99,395.1594,184.5372,283.3149,-20.0,8,3.86,2,1,0.19,0.19,1560,31.2,2.69,40,127,0,33,1295.898,
199,7.637,1314.437,0.02,200,155320,26.19,20337,1295.898,394.8577,189.1597,423.3966,179.8733,297.8782,-15.0,8,4.03,3,1,0.24,0.24,1560,31.2,2.73,41,118,0,41,1295.898,
